이름,등급,성향,도메인,포트폴리오
"생명과 질서의 빛, 세계수의 여신 위그드라실",초신격,선신,"빛, 생명, 자연, 정화, 질서","가지, 대지 기원, 뿌리, 생명 순환, 생명력, 성역, 세계수, 영맥, 자연 질서, 재생, 정화광, 치유"
"공포와 허기, 검은 안개의 신 앙그라",초신격,악신,"광기, 부패, 어둠, 재앙, 혼돈","공포, 공황, 광기, 부패, 붕괴, 역병, 절망, 타락, 탐식, 탐욕, 허기, 흑무"
어둠의 신 에레보스,주신격,선신,"어둠, 원소","심연, 암흑, 어둠의 근원, 원소의 그늘"
"운명의 세 여신(우르다, 베르다, 나이트라)",주신격,선신,"시간, 운명","과거, 미래, 숙명, 예언, 예지, 운명 개변, 운명의 실, 점성, 필연, 현재"
"탄생과 소멸, 순환의 신 르비우스",주신격,선신,"무덤, 생명, 운명","무덤의 씨앗, 생사 순환, 소멸, 시작, 운명의 실, 윤회, 재탄생, 종언, 탄생"
시공간의 신 아이온,주신격,선신,"시간, 신비","가속, 되감기, 순환, 시간 균열, 시간 왜곡, 시간 흐름, 연대기, 영원, 정지"
빛의 신 룬다르,주신격,선신,"빛, 생명, 원소","빛의 원소, 생명의 빛, 성광, 순수광, 정화광, 치유, 치유광"
안식과 죽음의 신 솜누스,대신격,선신,"무덤, 황혼","무덤 수호, 안식, 임종, 잠, 평온, 포용, 황혼 경계"
하늘의 신 아이테리온,대신격,선신,"원소, 자연","구름, 기류, 대기, 바람길, 천공, 하늘"
바다의 여신 칼라디엘,대신격,선신,"원소, 자연, 폭풍","난파, 바다, 바다 폭풍, 심해, 조류, 항해, 해전"
바람의 신 아누르,대신격,선신,"여행, 원소","길잡이, 바람, 방랑, 순풍, 여행길, 편서풍, 항로"
불과 열기의 신 아그니,대신격,선신,"대장간, 원소","대장간불, 불, 연소, 열기, 정화광, 화염 정화"
대지의 신 르기안,대신격,선신,"원소, 자연","기반, 대지, 대지 기원, 안정, 암반, 토양"
물의 여신 쿠아리아,대신격,선신,"생명, 원소, 자연","강, 샘, 생명력, 수자원, 정화수, 치유수, 호수"
생명의 여신 실바누스,대신격,선신,"생명, 자연","균형, 번성, 생명력, 생태, 수목, 숲, 야생의 생명, 재생"
태양의 신 솔라리스 / 달의 여신 루나리스,대신격,선신,"빛, 자연, 황혼","광명, 낮, 달, 밤, 순환, 은광, 태양, 황혼"
깊은 심연의 이드리크,대신격,선신,"광기, 어둠, 폭풍","광기, 바다 폭풍, 심연, 암흑 해역, 폭풍우, 혼돈의 바다"
신비의 여신 미스티아,대신격,선신,"신비, 지식, 혼돈","감춰진 진실, 금지지식, 비밀 학술, 비전, 신비, 혼돈의 계시"
약초와 의술의 신 발란,대신격,선신,"생명, 자연","생명력, 약초, 역병 치료, 의술, 치유, 해독, 회복"
"모험과 귀환, 개척의 신 발타스",대신격,선신,"개척, 여행","개척, 귀환, 발견, 여행길, 용기, 전초기지, 지도, 탐사"
"전쟁과 용기, 영웅의 신 티리안",대신격,선신,"의지, 전쟁","결투, 명예, 영웅서사, 용기, 의지의 불꽃, 전술, 전장의 사기"
지식과 지혜의 신 그녹시아스,대신격,선신,지식,"기록, 도서, 문자, 법전, 보존, 역사서, 지식, 지혜, 천문 기록, 탐구"
풍요와 농경의 여신 하르비아,대신격,선신,"생명, 자연","곡식, 농업, 부엌과 식량 저장, 수확, 파종, 풍요"
드워프와 대장장이의 신 칼림보르,대신격,선신,"대장간, 원소","공방, 금속가공, 단조, 도선 제작, 병기 제작, 불꽃, 장인정신, 제련"
가정과 평안의 여신 베스티아,대신격,선신,"평화, 화로","가정, 가족, 귀가, 안식, 온기, 화로, 휴식"
사랑과 미의 여신 베누아,대신격,선신,"생명, 예술","감정 표현, 매혹, 미, 사랑, 연정, 조화"
예술과 음유시인의 신 리라온,대신격,선신,예술,"감정 표현, 공연, 노래, 서사, 영감, 예술, 축제"
질서와 법률의 신 유스토르,대신격,선신,"의지, 질서","계약, 규율, 맹세, 법리, 법전, 재판, 질서 유지, 판결, 형벌"
"전쟁과 방패, 수호의 여신 팔라기아",대신격,선신,"수호, 전쟁","방패, 보호, 성채, 수비전, 수운 보호, 수호 맹세, 호위"
"교역과 항로, 상단의 여신 프레티아",대신격,선신,"여행, 평화","교역, 무역로, 번영, 상단, 수송, 통행 안전, 항로"
환상과 몽환의 여신 에테리아,대신격,선신,"꿈, 신비","계시, 꿈, 몽환, 수면, 신비, 환상"
