이름,관계,A(세력),A(신격),B(세력),B(신격),쟁점(한 줄),세션 징후,공개 수준
에리디안 제국 ↔ 에테르나 공화국,대립,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,물자 동원 vs 가격/항로 주도권,"통행세·관세, 창고 봉쇄, 호송대 습격(배후 의심)",부분 공개
연맹 ↔ 공포의 의회,전쟁,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,문명권 유지 vs 내부 붕괴,"규약 강화, 이단 토벌, 배후 공작 역공",부분 공개
에리디안 제국 ↔ 아르카 마법 연합,견제,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,아르카 마법 연합 (https://app.notion.com/p/33a3ce531dea80b883fef5ddc9f66ab2?pvs=21),,국가 통제 vs 연구/정보 독점,"호송 계약, 사고 은폐 논쟁, 관측 자료 압수 시도",부분 공개
룬다르 신성 제국 ↔ 공포의 의회,전쟁,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,정화 권위 vs 잠식 교리,"심문/정화 의식, 성소 피습, 내부 잠복 색출",부분 공개
룬다르 신성 제국 ↔ 에리디안 제국,우호,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,교권 명분과 행정 실무의 동맹,"공동 성명, 그러나 지휘권으로 마찰",공개
자유 탐사 연맹 ↔ 위그드라실 연맹,우호,자유 탐사 연맹 (https://app.notion.com/p/3323ce531dea807c8649ce973b2e1d27?pvs=21),,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,현장 자율 vs 연맹 규약/통제,"신분/기록 요구, 의뢰 제한, 거점 운영권 줄다리기",부분 공개
아이언포지 연맹 ↔ 에테르나 공화국,대립,아이언포지 연맹 (https://app.notion.com/p/33a3ce531dea80198da6fdfddf42bff2?pvs=21),,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,제련/광산 공급 vs 유통/가격 조작,"파업·폭동, 납품 지연, 암시장 물량 추적",부분 공개
펠가르드 연맹 ↔ 위그드라실 연맹,견제,펠가르드 연맹 (https://app.notion.com/p/33a3ce531dea80249a5bdec43cecf308?pvs=21),,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,규약 준수 vs 북방 항로 자율,"검문 거부, 전선 지원 대가 협상, 군사 시위",부분 공개
시지아스 교단 ↔ 발타스 교단,견제,,"전쟁과 전술, 책략의 신 시지아스 (https://app.notion.com/p/0336aee56a5d4f26b3ff444320c1315e?pvs=21)",,"모험과 귀환, 개척의 신 발타스 (https://app.notion.com/p/fbfd0eb22df84c77b77115430b1e9998?pvs=21)",필요한 희생/승리 논리 vs 귀환/생존 규율,"무리한 출정 명령, 구조 우선순위 갈등, 영웅화 선전",부분 공개
유스토르 교단 ↔ 발타스 교단(탐사 규약파),견제,,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),,"모험과 귀환, 개척의 신 발타스 (https://app.notion.com/p/fbfd0eb22df84c77b77115430b1e9998?pvs=21)",법/통제 우선 vs 현장 자율(모험가 관습),"면허·통행증·수색권 논쟁, 현장 제재/구금(명분: 치안)",부분 공개
